time/total_timesteps,time/episodes,rollout/exploration_rate,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/loss,train/learning_rate,train/n_updates
498722,326900,0.3350373333333332,3.73,25,19569,8.76,9.925182342529297,0.001,62180
499045,327000,0.3346066666666667,3.23,25,19578,6.66,1.3834688663482666,0.001,62261
499347,327100,0.33420399999999995,3.02,25,19587,6.23,12.470830917358398,0.001,62336
499678,327200,0.33376266666666665,3.31,25,19596,7.41,11.228710174560547,0.001,62419
500043,327300,0.3332760000000001,3.65,25,19606,9.39,7.827516555786133,0.001,62510
500392,327400,0.3328106666666666,3.49,25,19615,7.45,5.991467475891113,0.001,62597
500728,327500,0.3323626666666666,3.36,25,19624,6.94,0.5712487697601318,0.001,62681
501087,327600,0.33188400000000007,3.59,25,19633,7.42,2.0927491188049316,0.001,62771
501375,327700,0.33150000000000013,2.88,25,19641,4.82,6.6894354820251465,0.001,62843
501727,327800,0.3310306666666667,3.52,25,19651,7.67,4.317635536193848,0.001,62931
502064,327900,0.3305813333333334,3.37,25,19660,6.76,2.9716827869415283,0.001,63015
502461,328000,0.330052,3.97,25,19670,9.92,1.804884672164917,0.001,63115
502842,328100,0.32954399999999984,3.81,25,19680,9.2,5.2455339431762695,0.001,63210
503126,328200,0.3291653333333333,2.84,25,19689,4.7,3.0971710681915283,0.001,63281
503419,328300,0.32877466666666666,2.93,25,19697,5.13,1.7432565689086914,0.001,63354
503745,328400,0.32833999999999985,3.26,25,19707,6.64,1.267003059387207,0.001,63436
504052,328500,0.3279306666666666,3.07,25,19716,5.74,7.987776279449463,0.001,63512
504448,328600,0.3274026666666665,3.96,25,19726,11.17,2.031827688217163,0.001,63611
504783,328700,0.326956,3.35,25,19735,6.99,4.113609790802002,0.001,63695
505145,328800,0.3264733333333334,3.62,25,19744,8.71,0.9070106744766235,0.001,63786
505466,328900,0.3260453333333333,3.21,25,19753,6.49,2.1391048431396484,0.001,63866
505845,329000,0.32554000000000016,3.79,25,19763,9.22,1.551835298538208,0.001,63961
506174,329100,0.32510133333333346,3.29,25,19772,6.66,0.7773135900497437,0.001,64043
506480,329200,0.3246933333333333,3.06,25,19780,5.68,3.8673202991485596,0.001,64119
506807,329300,0.3242573333333332,3.27,25,19789,6.74,1.88155198097229,0.001,64201
507133,329400,0.3238226666666666,3.26,25,19798,6.23,1.1377284526824951,0.001,64283
507463,329500,0.3233826666666668,3.3,25,19807,6.89,3.477680206298828,0.001,64365
507793,329600,0.3229426666666666,3.3,25,19817,7.79,3.1508967876434326,0.001,64448
508166,329700,0.3224453333333335,3.73,25,19826,8.37,5.989141464233398,0.001,64541
508469,329800,0.3220413333333334,3.03,25,19835,5.54,7.736640930175781,0.001,64617
508774,329900,0.32163466666666674,3.05,25,19844,5.79,3.358011484146118,0.001,64693
509083,330000,0.32122266666666666,3.09,25,19852,5.8,0.819917619228363,0.001,64770
509416,330100,0.32077866666666655,3.33,25,19862,6.62,8.758572578430176,0.001,64853
509730,330200,0.32036,3.14,25,19870,5.79,3.222562074661255,0.001,64932
510071,330300,0.31990533333333326,3.41,25,19880,7.3,11.263696670532227,0.001,65017
510388,330400,0.3194826666666666,3.17,25,19888,6.57,6.897046089172363,0.001,65096
